12	1	6	0.0110699117
11	0.0110699117	0.0110699117	0.0221398234	3	9	10	7	0	0	0
10	0.0110699117	0.0000000000	0.0221398234	3	8	11	6	0	0	0
1	0.0000000000	0.0110699117	0.0000000000	3	3	0	5	0	0	0
0	0.0000000000	0.0000000000	0.0000000000	3	2	1	4	0	0	0
3	0.0110699117	0.0110699117	0.0000000000	3	1	2	7	0	0	0
2	0.0110699117	0.0000000000	0.0000000000	3	0	3	6	0	0	0
5	0.0000000000	0.0110699117	0.0110699117	4	7	4	1	9	0	0
4	0.0000000000	0.0000000000	0.0110699117	4	6	5	0	8	0	0
7	0.0110699117	0.0110699117	0.0110699117	4	5	6	3	11	0	0
6	0.0110699117	0.0000000000	0.0110699117	4	4	7	2	10	0	0
9	0.0000000000	0.0110699117	0.0221398234	3	11	8	5	0	0	0
8	0.0000000000	0.0000000000	0.0221398234	3	10	9	4	0	0	0
